question,answer
Nội quy lao động này thuộc phiên bản nào?,Phiên bản tháng 7 năm 2023
Cơ quan nào chịu trách nhiệm giám sát nội quy lao động?,"Phòng giám sát – Cục tiêu chuẩn lao động – Bộ Y tế, Lao động và Phúc lợi xã hội"
Tại sao việc tạo dựng môi trường làm việc lại quan trọng?,Việc tạo dựng một môi trường làm việc sáng sủa giúp người lao động có thể yên tâm làm việc là yếu tố rất quan trọng đối với các nơi làm việc không kể loại hình công việc và quy mô kinh doanh.
Nội quy lao động quy định những gì?,"Nội quy lao động quy định rõ ràng những tiêu chuẩn đãi ngộ, điều kiện lao động của người lao động như tiền lương, thời gian làm việc, nội quy thực hiện công việc"
Mục đích của việc quy định nội quy lao động là gì?,Mục đích của việc quy định nội quy lao động là giúp người lao động có thể yên tâm làm việc trong một môi trường làm việc sáng sủa
Mục đích của việc xây dựng nội quy lao động là gì?,nhằm tránh phát sinh mâu thuẫn giữa người lao động và người sử dụng lao động
Nội quy lao động gồm những loại điều khoản nào?,Điều khoản tuyệt đối cần thiết phải có và Điều khoản cần thiết tương đối
Điều khoản cần thiết tương đối được áp dụng trong trường hợp nào?,khi quy định ra những nội quy tại nơi làm việc
Luật nào quy định về tiêu chuẩn lao động?,"Luật số 49 năm 1947, hay còn gọi là Luật lao động"
Những điều khoản nào là tuyệt đối cần thiết phải có trong hợp đồng lao động?,Điều khoản liên quan đến thời gian làm việc
Điều khoản liên quan đến thời gian làm việc bao gồm những nội dung gì?,"Thời gian bắt đầu và kết thúc làm việc, thời gian nghỉ giải lao, ngày nghỉ, nghỉ phép, và chuyển đổi giờ làm việc"
Điều khoản liên quan đến tiền lương bao gồm những nội dung gì?,"Xác định, phương pháp tính và chi trả lương, hạn chốt và thời điểm chi trả lương, cũng như các vấn đề liên quan đến tăng lương"
Điều khoản liên quan đến trợ cấp thôi việc quy định về gì?,Phạm vi người lao động được áp dụng
Điều khoản nào liên quan đến lương tạm thời?,Điều khoản liên quan đến lương tạm thời (ngoại trừ trợ cấp thôi việc) và lương tối thiểu
Công ty có quy định gì về chi trả chi phí ăn uống và thiết bị lao động không?,"Có, công ty có điều khoản liên quan đến việc yêu cầu người lao động phải chi trả chi phí ăn uống và thiết bị lao động khác"
Công ty có quy định gì về an toàn và vệ sinh lao động không?,"Có, công ty có điều khoản liên quan đến an toàn và vệ sinh"
Nội quy lao động được áp dụng cho ai?,Tất cả người lao động trong nơi làm việc
Nội quy lao động phải tuân thủ những quy định nào?,Phải tuân thủ thỏa ước lao động tập thể và các quy định pháp luật
Ai có thẩm quyền ra lệnh thay đổi nội quy lao động?,Giám đốc văn phòng giám sát tiêu chuẩn lao động có thẩm quyền
Nội quy lao động được áp dụng cho những nơi làm việc nào?,Những nơi làm việc sử dụng trên 10 người lao động
Cần làm gì khi thay đổi nội quy lao động tại nơi làm việc sử dụng trên 10 người lao động?,Phải nộp cho giám đốc văn phòng giám sát tiêu chuẩn lao động có thẩm quyền
Một doanh nghiệp có nhiều cơ sở kinh doanh và cửa hàng thì tính tổng số người lao động như thế nào?,"phải coi mỗi cơ sở kinh doanh, cửa hàng là 1 nơi làm việc độc lập"
Điều kiện để một nơi làm việc phải có nội quy lao động?,sử dụng trên 10 người lao động
Doanh nghiệp nào cần lập nội quy lao động?,"Doanh nghiệp có nhiều nơi làm việc như cơ sở kinh doanh, cửa hàng, v.v."
Ai có thẩm quyền quản lý doanh nghiệp mẹ?,Giám đốc văn phòng giám sát tiêu chuẩn lao động
Khi nào cần nộp ý kiến cho giám đốc văn phòng giám sát tiêu chuẩn lao động?,Khi lập hoặc thay đổi nội quy lao động
Ai sẽ viết ý kiến nếu không có công đoàn lao động được tổ chức bởi quá bán số người lao động?,Người đại diện cho quá bán số người lao động
Khi nào người lao động được lắng nghe?,Khi lập hoặc thay đổi nội quy lao động
Tại sao phải kiểm tra kỹ nội dung khi lập hoặc thay đổi nội quy lao động?,Phải tuân thủ theo đúng quy trình và kiểm tra kỹ nội dung đó
Thay đổi nội quy lao động không có lợi cho người lao động cần lưu ý gì?,Phải tuân thủ theo đúng quy trình
