question,answer
Tại sao Clef coi việc cải thiện bản thân quan trọng hơn việc trở thành người tốt nhất?,"Bởi vì 'tốt nhất' đồng nghĩa với sự tự mãn, trong khi 'tốt hơn' đồng nghĩa với sự tiến bộ. Clef luôn luôn cải thiện và xem việc phản ánh bản thân là cần thiết để cải thiện."
Clef khuyến khích nhân viên làm gì khi mắc lỗi?,Clef khuyến khích nhân viên nhận trách nhiệm về lỗi của mình và xem xét lại thói quen của mình.
Tại sao chúng ta cần xem xét góc nhìn của khách hàng và đồng nghiệp?,"Bởi vì khách hàng và đồng nghiệp có những nhu cầu khác biệt, việc xem xét góc nhìn của họ giúp chúng ta giao tiếp hiệu quả hơn."
Chúng ta tạo ra sản phẩm tốt nhất khi nào?,Khi chúng ta hiểu rõ người dùng mà chúng ta đang xây dựng sản phẩm cho.
Tại sao việc xây dựng một đội ngũ đa dạng lại quan trọng?,Xây dựng một đội ngũ đa dạng là một nghĩa vụ đạo đức và giúp chúng ta xây dựng một doanh nghiệp và sản phẩm tốt hơn bằng cách đưa ra nhiều góc nhìn khác nhau.
Chúng ta cần làm gì để tránh tình trạng bất bình đẳng và loại trừ trong ngành?,"Chúng ta cần nỗ lực có ý thức để tránh thừa hưởng những sai lầm này và làm xấu đi vấn đề, bằng cách tìm kiếm những tiếng nói khác biệt với chúng ta."
Tại sao sự tin tưởng lẫn nhau lại quan trọng đối với thành công chung của đội ngũ?,"Sự tin tưởng lẫn nhau là nền tảng để chúng ta cùng thành công, vì nó giúp mọi người hợp tác hiệu quả hơn."
Tại sao lòng tin lại quan trọng trong môi trường làm việc nhóm?,"Lòng tin là yếu tố quan trọng vì nó cho phép chúng ta chia sẻ phản hồi và ý kiến chân thành, giúp chúng ta sáng tạo và thành công hơn."
Chúng ta có thể làm gì để xây dựng lòng tin trong đội ngũ?,"Chúng ta có thể xây dựng lòng tin bằng cách giao tiếp tốt, cung cấp cho đồng nghiệp cái nhìn sâu sắc về cách ra quyết định và tạo điều kiện dễ dàng để họ đưa ra ý kiến và hướng dẫn lộ trình."
Lòng tin ảnh hưởng như thế nào đến giao tiếp trong tương lai?,"Khi chúng ta xây dựng lòng tin thông qua giao tiếp tốt, chúng ta tạo ra một môi trường thuận lợi cho giao tiếp hiệu quả hơn trong tương lai."
Sứ mệnh của công ty là gì?,Sứ mệnh của công ty là trao quyền cho mọi người sở hữu danh tính trực tuyến của mình.
Công ty xây dựng tiêu chuẩn danh tính như thế nào?,"Công ty xây dựng một tiêu chuẩn bảo mật về danh tính cho doanh nghiệp để thay thế mật khẩu, giúp người dùng có mối quan hệ đích thực và cá nhân với công nghệ họ sử dụng."
Chính sách của công ty có thể thay đổi không?,"Có, chính sách của công ty có thể cải thiện và thay đổi khi công ty học hỏi và phát triển."
Công ty sử dụng những công cụ nào để thu thập phản hồi và thảo luận về quyển sổ tay?,Công ty đang sử dụng nhiều công cụ và nền tảng khác nhau để thu thập phản hồi và thảo luận về quyển sổ tay.
Github được sử dụng như thế nào trong việc đề xuất thay đổi chính sách?,"Github được sử dụng để thu thập phản hồi và thảo luận về quyển sổ tay, nhưng chi tiết cụ thể về cách sử dụng nó chưa được nêu rõ trong đoạn văn bản."
Sổ tay nhân viên được lưu trữ ở đâu?,Sổ tay nhân viên được lưu trữ trên Github.
Ai có thể tạo vấn đề hoặc mở yêu cầu kéo (pull request)?,Bất kỳ ai có tài khoản Github đều có thể tạo vấn đề hoặc mở yêu cầu kéo (pull request).
Ai sẽ thường xuyên phản hồi các vấn đề và bình luận?,B sẽ thường xuyên phản hồi các vấn đề và bình luận.
Chúng tôi có cần phải thảo luận tất cả các chủ đề nhạy cảm trên Github không?,"Không, các chủ đề nhạy cảm nên được thảo luận nội bộ."
"Khi chúng tôi thực hiện thay đổi, có cần phải giải thích lý do trên Github không?","Có, khi thực hiện thay đổi, cần phải giải thích lý do trên Github."
Những thành viên nào trong đội cần phải làm quen với Github?,Thành viên kỹ thuật của đội.
"Đối với những đồng nghiệp không kỹ thuật, cần phải đảm bảo điều gì về Github?",Cần đảm bảo họ có tài khoản và hiểu cách tham gia.
Địa chỉ của bảng Trello nội bộ là gì?,Địa chỉ của bảng Trello nội bộ là https://trello.com/b/gTmLFJgs.
Nhân viên cần làm gì nếu muốn bắt đầu thảo luận về một vấn đề mới?,"Nếu nhân viên muốn bắt đầu thảo luận về một vấn đề mới, họ có thể thêm một thẻ vào bảng Trello nội bộ."
Tôi nên sử dụng công cụ nào để viết đề xuất?,Bạn nên sử dụng Google Docs để viết đề xuất.
Thư mục nào sẽ chứa các tài liệu nghiên cứu và đề xuất đang được thực hiện?,Thư mục ‘Handbook Research and Proposals’ trong ‘Active Projects’ sẽ chứa các tài liệu nghiên cứu và đề xuất đang được thực hiện.
Chúng tôi nên làm gì khi nhận được phản hồi từ người dùng trên Twitter?,"Nên công nhận phản hồi của họ và đảm bảo ghi lại trong một kênh khác, đặc biệt là Github, để không bị mất."
Nhân viên cá nhân có được phép chia sẻ ý kiến cá nhân về phản hồi không?,"Có, nhân viên cá nhân có thể tự do chia sẻ ý kiến cá nhân về phản hồi."
"Khi cảm ơn người dùng vì phản hồi, chúng tôi cần lưu ý điều gì?",Cần cảm ơn người dùng vì phản hồi mà không tỏ ra phòng vệ.
Kênh nào trên Slack dùng để thảo luận về các chính sách mới?,Kênh #handbook trên Slack.
"Nếu một cuộc trò chuyện trên kênh #handbook đặc biệt thú vị, nó sẽ được ghi chép ở đâu?",Trong Google Docs hoặc trong một Github issue.
B sẽ dành bao nhiêu thời gian mỗi tuần để xử lý công việc?,B sẽ dành vài giờ mỗi tuần vào sáng thứ Sáu để xử lý công việc.
Những hoạt động nào B sẽ thực hiện trong thời gian này?,"B sẽ xem xét và phản hồi các vấn đề, tạo đề xuất dựa trên phản hồi, lên lịch thảo luận về các thay đổi với đội ngũ, và hợp nhất các thay đổi đã sẵn sàng."
B sẽ tóm tắt những vấn đề và đề xuất nào trong buổi trưa hàng tuần của đội?,B sẽ tóm tắt các vấn đề và đề xuất đang mở trong buổi trưa hàng tuần của đội.
Khi nào cần phải lập một đề xuất?,"Bất cứ khi nào có thay đổi quan trọng đối với quyển cẩm nang, cần phải lập một đề xuất để đội ngũ có thể bình luận và thảo luận."
Đề xuất cần bao gồm những nội dung gì?,Đề xuất cần nêu rõ chi tiết của thay đổi và lý do cần thực hiện thay đổi đó.
Ai sẽ chịu trách nhiệm tổ chức các cuộc họp thảo luận?,B sẽ chịu trách nhiệm tổ chức các cuộc họp này.
Tham dự các cuộc họp thảo luận có bắt buộc không?,"Tham dự các cuộc họp thảo luận không bắt buộc, nhưng sự tham gia rất quan trọng."
Tại sao việc tham gia các cuộc họp thảo luận lại quan trọng?,Việc tham gia các cuộc họp thảo luận rất quan trọng vì đây là nơi tốt nhất để chúng ta hiểu được cách các thành viên trong đội phản ứng hoặc bị ảnh hưởng bởi một chính sách nào đó.
Nhân viên có thể nói chuyện riêng với quản lý về những lo ngại của mình không?,"Có, nhân viên có thể nói chuyện riêng với quản lý về những lo ngại liên quan đến một thay đổi hoặc chính sách cụ thể."
Nhân viên có thể đề nghị quản lý đưa ra vấn đề nếu họ không thoải mái làm điều đó không?,"Có, nhân viên có thể đề nghị quản lý đưa ra vấn đề nếu họ không thoải mái làm điều đó."
Nhân viên có thể bình luận về tài liệu đề xuất bằng cách nào?,"Nhân viên có thể bình luận về tài liệu đề xuất trước hoặc sau cuộc họp, trong cuộc họp trực tiếp, hoặc yêu cầu quản lý hoặc nhân viên khác đưa ra bình luận của họ một cách nặc danh."
"Sau khi thay đổi được đề xuất và thảo luận, ai sẽ thực hiện việc hợp nhất vào sổ tay?",B sẽ thực hiện việc hợp nhất vào sổ tay trên Github.
"Khi có thay đổi lớn, ai có thể viết bài blog về thay đổi đó?",B hoặc một thành viên khác trong đội có thể viết bài blog về thay đổi đó.
Những người tham gia thảo luận có được công nhận trong bài blog không?,"Có, với sự đồng ý của họ, tất cả những người tham gia cộng đồng sẽ được công nhận trong bài blog."
Tất cả nhân viên của Clef có cần ký nhận tài liệu hướng dẫn nhân viên không?,"Có, tất cả nhân viên của Clef đều cần ký nhận tài liệu hướng dẫn nhân viên."
"Khi có thay đổi trong tài liệu hướng dẫn nhân viên, nhân viên cần làm gì?","Khi có thay đổi trong tài liệu hướng dẫn nhân viên, mỗi nhân viên cần ký nhận sự thay đổi đó."
Thay đổi trong tài liệu hướng dẫn nhân viên thường xảy ra như thế nào?,Thay đổi trong tài liệu hướng dẫn nhân viên thường hiếm khi xảy ra.
Chính sách sẽ được cập nhật khi nào?,Chính sách sẽ được cập nhật vào đầu mỗi quý.
Các phiên bản chính của sổ tay nhân viên được lưu trữ ở đâu?,Các phiên bản chính của sổ tay nhân viên được lưu trữ tại [getclef.com/handbook](https://getclef.com/handbook).
Làm thế nào để biết phiên bản chính sách nào đang áp dụng?,"Phiên bản chính sách sẽ được đánh dấu bằng ngày áp dụng, nên bạn có thể kiểm tra tại [getclef.com/handbook](https://getclef.com/handbook)."
Clef đang cố gắng xây dựng công ty như thế nào?,Clef đang cố gắng xây dựng một công ty bao gồm và có văn hóa dựa trên giá trị.
Tại sao việc xây dựng một công ty bao gồm lại khó khăn?,"Việc xây dựng một công ty bao gồm khó khăn vì sự loại trừ là điều mặc định trong ngành công nghiệp này, và cần nỗ lực tích cực để tìm và loại bỏ những định kiến ẩn trong công ty."
Tại sao công ty quyết định viết một cuốn sổ tay nhân viên riêng?,"Công ty muốn đưa những điều đã học được về các vấn đề văn hóa và giải pháp vào thực tế, nên đã quyết định viết cuốn sổ tay nhân viên riêng và mở nguồn nó."
Công ty đã làm gì để ứng dụng những kiến thức về văn hóa doanh nghiệp?,Công ty đã viết cuốn sổ tay nhân viên của riêng mình và mở nguồn nó.
Từ đâu công ty lấy cảm hứng để viết cuốn sổ tay nhân viên?,"Công ty lấy cảm hứng từ nhiều nguồn khác nhau trên web, nơi đang có rất nhiều công việc tốt được thực hiện để thảo luận về các vấn đề văn hóa và giải pháp của chúng."
Tôi có thể sử dụng các chính sách này cho công ty của mình không?,"Có, bạn có thể sử dụng bất kỳ hoặc tất cả các chính sách này và sửa đổi chúng theo cách phù hợp với công ty của bạn."
Mục đích của việc công bố các chính sách này là gì?,Mục đích là để các công ty khác có thể học hỏi từ nghiên cứu của chúng tôi và làm cho chính sách của họ trở nên bao quát hơn.
Có tài nguyên nào giúp tôi sử dụng cuốn sổ tay này làm điểm khởi đầu cho công ty của mình không?,"Có, [mccv] đã tạo ra một phiên bản mẫu của cuốn sổ tay Clef tại [đây](https://github.com/turbinelabs/handbook-template) để dễ dàng sử dụng làm điểm khởi đầu."
Công ty có chấp nhận phản hồi và đề xuất từ nhân viên không?,"Công ty rất hoan nghênh tất cả các phản hồi và đề xuất, đặc biệt là dưới dạng pull requests."
Công ty đã xem xét nhiều góc nhìn khác nhau để xây dựng chính sách chưa?,"Công ty đã nhận được nhiều góc nhìn khác nhau để giúp xây dựng các chính sách, nhưng vẫn còn thiếu sót và mắc phải một số sai lầm."
"Nếu tôi quan tâm đến các chính sách này, tôi có thể tìm hiểu thêm về cơ hội việc làm ở đâu?","Nếu bạn quan tâm, hãy truy cập [getclef.com/about](https://getclef.com/about) để xem các vị trí tuyển dụng."
Ai đã góp ý để tạo ra phiên bản đầu tiên của chính sách này?,Phiên bản đầu tiên của chính sách này không thể hoàn thành nếu thiếu những ý kiến đóng góp sâu sắc từ những người tuyệt vời.
Chúng ta hy vọng điều gì từ mọi người về chính sách này?,Chúng ta hy vọng rằng nhiều người hơn sẽ đề xuất cách cải thiện các chính sách này.
Clef có giá trị cốt lõi nào liên quan đến việc học tập và phát triển cá nhân?,Một trong những giá trị cốt lõi của Clef là 'Hãy tốt hơn hôm nay so với hôm qua'.
"Tại sao Clef coi trọng việc hỗ trợ nhân viên học tập, phát triển và cải thiện bản thân?","Việc hỗ trợ nhân viên học tập, phát triển và cải thiện bản thân là một phần quan trọng của văn hóa công ty và là một trong những lợi ích chính khi làm việc tại Clef."
Mỗi nhân viên được cấp ngân sách bao nhiêu để hỗ trợ hoạt động học tập?,Mỗi nhân viên được cấp ngân sách 4.000 đô la mỗi năm.
Ngân sách này có thể được sử dụng cho những mục đích gì?,"Ngân sách này có thể được sử dụng để thanh toán học phí, vé, chuyến bay, khách sạn cho hội nghị ngành, lớp học, chương trình hướng dẫn, sách, chương trình, video hoặc các mục khác."
Hoạt động học tập cần phải liên quan chặt chẽ đến vai trò hiện tại của nhân viên không?,"Không cần phải liên quan chặt chẽ đến vai trò hiện tại, nhưng phải giúp cải thiện kỹ năng có ích cho công việc tại Clef."
Nhân viên cần làm gì trước khi đăng ký học các khóa học hoặc mua sách?,Nhân viên cần thảo luận chi phí với người quản lý trực tiếp và được người sáng lập phê duyệt.
Ngân sách học tập có được chuyển sang năm sau không?,"Không, ngân sách học tập không được chuyển sang năm sau và sẽ được reset vào đầu mỗi năm dương lịch."
Hạn mức ngân sách học tập trong năm đầu tiên là bao nhiêu?,Hạn mức ngân sách học tập trong năm đầu tiên là 2.000 đô la.
Công ty Clef có chương trình hướng dẫn (mentorship) cho nhân viên không?,"Có, Clef hiểu giá trị của việc hướng dẫn và sẽ làm việc với mỗi nhân viên để đảm bảo họ có một người hướng dẫn trong lĩnh vực của mình từ bên ngoài công ty."
Nhân viên có được khuyến khích gặp gỡ người hướng dẫn trong giờ làm việc không?,"Có, nhân viên được khuyến khích gặp gỡ người hướng dẫn trong giờ làm việc bình thường."
Ai sẽ giúp kết nối nhân viên với người hướng dẫn?,Toàn bộ đội ngũ sẽ giúp tạo và hỗ trợ kết nối với người hướng dẫn.
Công ty Clef có hỗ trợ gì cho nhân viên khi họ được mời nói chuyện tại hội nghị?,"Clef sẽ chi trả cho chuyến bay và khách sạn lên đến 1,000 đô la cho mỗi sự kiện."
Nhân viên có thể sử dụng quyền lợi này bao nhiêu lần trong một năm?,Nhân viên có thể sử dụng quyền lợi này 4 lần trong một năm.
Nhân viên cần làm gì trước khi quyết định tham dự hội nghị?,Nhân viên cần xin phép người sáng lập mà họ báo cáo về việc tham dự hội nghị nào là phù hợp.
Công ty Clef cung cấp những loại bảo hiểm nào cho nhân viên và người phụ thuộc?,"Công ty Clef cung cấp bảo hiểm y tế, nha khoa và thị lực cho nhân viên và người phụ thuộc."
Công ty Clef đóng góp bao nhiêu phần trăm chi phí cho bảo hiểm của nhân viên và người phụ thuộc?,Công ty Clef đóng góp 85% chi phí cho bảo hiểm của nhân viên và 50% cho người phụ thuộc.
"Nhân viên có thể chọn kế hoạch bảo hiểm đắt hơn kế hoạch cơ bản không? Nếu có, ai sẽ chịu trách nhiệm về phần chênh lệch?","Nhân viên có thể chọn kế hoạch bảo hiểm đắt hơn kế hoạch cơ bản, và họ sẽ chịu trách nhiệm về phần chênh lệch."
Khi nào tôi có thể tham gia bảo hiểm?,Bạn có thể tham gia bảo hiểm vào ngày đầu tiên của tháng tiếp theo sau khi bạn được tuyển dụng.
Tôi có thể tìm thông tin chi tiết về các gói bảo hiểm ở đâu?,"Bạn có thể tìm thông tin chi tiết về các gói bảo hiểm, chi phí và phạm vi bảo hiểm thông qua TriNet."
Nhân viên có được hưởng bảo hiểm tai nạn và tử vong không?,"Có, tất cả nhân viên đều được bảo hiểm tai nạn và tử vong với mức bồi thường bằng một lần thu nhập (có một số hạn chế về độ tuổi bắt đầu từ 65 tuổi)."
"Nếu tôi đã có bảo hiểm y tế khác và không đăng ký bảo hiểm y tế qua TriNet, tôi có được hỗ trợ gì không?","Có, Clef cung cấp khoản hỗ trợ từ chối bảo hiểm y tế là 25 đô la mỗi tháng cho nhân viên có bảo hiểm y tế khác và chọn không đăng ký bảo hiểm y tế qua TriNet."
Ngày Lao Động (Labor Day) được tổ chức vào thời điểm nào?,Ngày Thứ Hai cuối cùng của tháng 5
